"row","code","Category"
"1",101,"Cereals"
"2",102,"Cereals"
"3",103,"Cereals"
"4",104,"Cereals"
"5",105,"Cereals"
"6",106,"Cereals"
"7",107,"Cereals"
"8",108,"Cereals"
"9",109,"Cereals"
"10",110,"Cereals"
"11",111,"Cereals"
"12",112,"Cereals"
"13",113,"Cereals"
"14",114,"Cereals"
"15",115,"Cereals"
"16",116,"Cereals"
"17",117,"Cereals"
"18",118,"Cereals"
"19",201,"Roots & tubers"
"20",202,"Roots & tubers"
"21",203,"Roots & tubers"
"22",204,"Roots & tubers"
"23",205,"Roots & tubers"
"24",206,"Roots & tubers"
"25",207,"Roots & tubers"
"26",208,"Roots & tubers"
"27",209,"Roots & tubers"
"28",301,"Legumes & nuts"
"29",302,"Legumes & nuts"
"30",303,"Legumes & nuts"
"31",305,"Legumes & nuts"
"32",306,"Legumes & nuts"
"33",307,"Legumes & nuts"
"34",308,"Legumes & nuts"
"35",309,"Legumes & nuts"
"36",310,"Legumes & nuts"
"37",311,"Legumes & nuts"
"38",312,"Legumes & nuts"
"39",313,"Legumes & nuts"
"40",401,"Vegetables"
"41",402,"Vegetables"
"42",403,"Vegetables"
"43",404,"Vegetables"
"44",405,"Vegetables"
"45",406,"Vegetables"
"46",407,"Vegetables"
"47",408,"Vegetables"
"48",409,"Vegetables"
"49",410,"Vegetables"
"50",411,"Vegetables"
"51",412,"Vegetables"
"52",413,"Vegetables"
"53",414,"Vegetables"
"54",501,"Eggs"
"55",504,"Meat"
"56",505,"Meat"
"57",506,"Meat"
"58",507,"Meat"
"59",508,"Meat"
"60",509,"Meat"
"61",510,"Meat"
"62",511,"Meat"
"63",512,"Fish"
"64",514,"Fish"
"65",515,"Meat"
"66",522,"Meat"
"67",601,"Fruits"
"68",602,"Fruits"
"69",603,"Fruits"
"70",604,"Fruits"
"71",605,"Fruits"
"72",606,"Fruits"
"73",607,"Fruits"
"74",608,"Fruits"
"75",609,"Fruits"
"76",610,"Fruits"
"77",701,"Milk & milk products"
"78",702,"Milk & milk products"
"79",703,"Fats & oils"
"80",704,"Fats & oils"
"81",705,"Milk & milk products"
"82",706,"Milk & milk products"
"83",707,"Milk & milk products"
"84",708,"Milk & milk products"
"85",709,"Milk & milk products"
"86",801,"Sugary foods/beverages"
"87",802,"Miscellaneous"
"88",803,"Fats & oils"
"89",804,"Sugary foods/beverages"
"90",810,"Miscellaneous"
"91",811,"Miscellaneous"
"92",812,"Miscellaneous"
"93",813,"Miscellaneous"
"94",814,"Miscellaneous"
"95",815,"Miscellaneous"
"96",816,"Sugary foods/beverages"
"97",817,"Sugary foods/beverages"
"98",818,"Miscellaneous"
"99",820,"Cereals"
"100",821,"Roots & tubers"
"101",822,"Roots & tubers"
"102",823,"Eggs"
"103",824,"Meat"
"104",825,"Meat"
"105",826,"Fish"
"106",827,"Cereals"
"107",828,"Cereals"
"108",829,"Cereals"
"109",830,"Cereals"
"110",831,"Roots & tubers"
"111",832,"Roots & tubers"
"112",833,"Legumes & nuts"
"113",834,"Legumes & nuts"
"114",835,"Cereals"
"115",836,"Cereals"
"116",837,"Legumes & nuts"
"117",838,"Roots & tubers"
"118",901,"Miscellaneous"
"119",902,"Miscellaneous"
"120",903,"Miscellaneous"
"121",904,"Sugary foods/beverages"
"122",905,"Fruits"
"123",906,"Sugary foods/beverages"
"124",907,"Sugary foods/beverages"
"125",908,"Miscellaneous"
"126",909,"Miscellaneous"
"127",910,"Cereals"
"128",911,"Miscellaneous"
"129",912,"Cereals"
"130",913,"Miscellaneous"
"131",914,"Miscellaneous"
"132",915,"Miscellaneous"
"133",916,"Miscellaneous"
"134",5021,"Fish"
"135",5022,"Fish"
"136",5023,"Fish"
"137",5031,"Fish"
"138",5032,"Fish"
"139",5033,"Fish"
"140",5121,"Fish"
"141",5122,"Fish"
"142",5123,"Fish"
