hhid,code,consumed,source,Category,province,residence_type
Q5Jy-Ax5e-HxjF-WTDH,102,yes,purchased,Cereals,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,104,yes,purchased,Cereals,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,109,yes,purchased,Cereals,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,111,yes,gifted,Cereals,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,112,yes,purchased,Cereals,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,113,yes,purchased,Cereals,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,114,yes,ownproduced,Cereals,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,117,yes,purchased,Cereals,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,118,yes,purchased,Cereals,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,201,yes,purchased,Roots & tubers,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,202,yes,purchased,Roots & tubers,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,204,yes,gifted,Roots & tubers,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,206,yes,purchased,Roots & tubers,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,207,yes,ownproduced,Roots & tubers,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,208,yes,purchased,Roots & tubers,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,306,yes,ownproduced,Legumes & nuts,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,307,yes,ownproduced,Legumes & nuts,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,309,yes,purchased,Legumes & nuts,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,311,yes,purchased,Legumes & nuts,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,401,yes,gifted,Vegetables,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,403,yes,purchased,Vegetables,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,406,yes,ownproduced,Vegetables,Mashonaland West,Rural
Q5Jy-Ax5e-HxjF-WTDH,408,yes,purchased,Vegetables,Mashonaland West,Rural
