,itemcode,item_desc,FoodName_3,wt,N_HH,Edible portion
1,1001,COOKING OIL,sunflower oil,0.262150141,978,1.00
2,1001,COOKING OIL,"sunflower seeds, dried",0.262150141,978,1.00
3,1001,COOKING OIL,cotton seed oil,0.197656759,978,1.00
4,1001,COOKING OIL,maize oil,0.085430679,978,1.00
5,1001,COOKING OIL,palm oil,0.085430679,978,1.00
6,1001,COOKING OIL,sesame seeds,0.019418529,978,1.00
7,1001,COOKING OIL,sesame seed oil,0.019418529,978,1.00
8,1001,COOKING OIL,peanut oil,0.034606205,978,1.00
9,1001,COOKING OIL,coconut oil,0.024517249,978,1.00
10,1001,COOKING OIL,ghee,0.006725971,978,1.00
11,1001,COOKING OIL,olive oil,0.002495118,978,1.00
12,601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","tomatoes, green, fresh, raw",0.229053663,1045,0.98
13,601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","tomatoes, red, ripe, fresh, raw",0.229053663,1045,0.98
14,601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","onions, raw",0.119578001,1045,0.89
15,601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","onion, mature, red skinned, fresh, raw",0.119578001,1045,1.00
16,601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","spring onion, fresh, raw",0.119578001,1045,0.78
17,601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","native eggplant, raw",0.104955501,1045,0.91
18,601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","carrot, fresh, raw",0.066512191,1045,0.83
19,601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","spring onion, fresh, raw",0.008794565,1045,0.78
20,601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","pepper, raw",0.002896414,1045,0.40
21,105,MAIZE (FLOUR),"maize, flour, white, refined, non-fermented, raw",1,940,1.00
22,301,SUGAR,"sugar, brown",0.827283471,877,1.00
23,301,SUGAR,"sugar, white",0.172716529,877,1.00
24,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","pumpkin leaves, raw",0.224687933,875,0.82
25,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","malabar spinach, leaves, fresh, raw",0.158113731,875,NA
26,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","cassava leaves, raw",0.137251503,875,0.70
27,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","cow pea leaves, fresh, raw",0.041608877,875,0.59
28,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","taro leaves, fresh, raw",0.041608877,875,0.60
29,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","kale, cabbage leaves, fresh, raw",0.041608877,875,0.75
30,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","blackjack leaves, raw",0.016508707,875,NA
31,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","spider plant, leaves, fresh, raw",0.016508707,875,0.28
32,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","taro leaves, fresh, raw",0.016508707,875,0.60
33,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","malabar spinach, leaves, fresh, raw",0.016508707,875,NA
34,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","moringa, leaves, raw",0.016508707,875,0.62
35,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","black nightshade, leaves, fresh, raw",0.016508707,875,0.52
36,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","spinach, fresh, raw",0.096740638,875,0.74
37,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","cabbages, chinese, raw",0.029029897,875,0.92
38,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","cabbages, white, fresh, raw",0.029029897,875,0.78
39,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","cabbage, red, fresh, raw",0.029029897,875,0.84
40,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","cow pea leaves, fresh, raw",0.065591771,875,0.83
41,602,"SPINACH, CABBAGE AND OTHER GREEN VEGETABLES","coriander leaves, fresh, raw",0.006645862,875,0.83
42,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","common beans, dried, raw",0.484363008,834,NA
43,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","soybeans, dried, raw",0.171431312,834,1.00
44,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","cow peas, dried, raw",0.07981581,834,1.00
45,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","kidney beans, dried, raw",0.069934766,834,1.00
46,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","green beans, fresh, raw",0.0661934,834,0.92
47,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","peas, green, fresh, raw",0.034439754,834,NA
48,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","lima beans, dried, raw",0.004152505,834,1.00
49,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","lablab, dried, raw",0.004152505,834,NA
50,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","chick peas, dried, raw",0.004152505,834,1.00
51,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","gram, black, dried, raw",0.004152505,834,1.00
52,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","mung bean, dried, raw",0.004152505,834,1.00
53,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","lentils, dried, raw",0.004152505,834,1.00
54,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","pigeon peas, dried, raw",0.004152505,834,1.00
55,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","peas, dried, raw",0.0257099,834,1.00
56,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","cow peas, green, fresh, raw",0.019570223,834,1.00
57,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","broad beans, green, raw",0.006907137,834,1.00
58,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","broad bean, dried, raw",0.006907137,834,1.00
59,401,"PEAS, BEANS, LENTILS AND OTHER PULSES","green beans, fresh, raw",0.005660015,834,1.00
60,808,FRESH FISH AND SEAFOOD (INCLUDING DAGAA),"rhinofishes nei, fillet, fresh, raw",0.073000349,646,NA
