"","itemcode","item_desc","FoodName_3","wt","N_HH"
"1",1001,"COOKING OIL","sunflower oil",0.262150141028423,978
"2",1001,"COOKING OIL","sunflower seeds, dried",0.262150141028423,978
"3",1001,"COOKING OIL","cotton seed oil",0.197656758515947,978
"4",1001,"COOKING OIL","maize oil",0.0854306791060968,978
"5",1001,"COOKING OIL","palm oil",0.0854306791060968,978
"6",1001,"COOKING OIL","sesame seeds",0.0194185289650683,978
"7",1001,"COOKING OIL","sesame seed oil",0.0194185289650683,978
"8",1001,"COOKING OIL","peanut oil",0.0346062052505967,978
"9",1001,"COOKING OIL","coconut oil",0.0245172488609243,978
"10",1001,"COOKING OIL","ghee",0.00672597092644825,978
"11",1001,"COOKING OIL","olive oil",0.00249511824690822,978
"12",601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","tomatoes, green, fresh, raw",0.229053662646796,1045
"13",601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","tomatoes, red, ripe, fresh, raw",0.229053662646796,1045
"14",601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","onions, raw",0.119578001298998,1045
"15",601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","onion, mature, red skinned, fresh, raw",0.119578001298998,1045
"16",601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","spring onion, fresh, raw",0.119578001298998,1045
"17",601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","native eggplant, raw",0.104955500552952,1045
"18",601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","carrot, fresh, raw",0.0665121912686292,1045
"19",601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","spring onion, fresh, raw",0.00879456527463268,1045
"20",601,"ONIONS, TOMATOES, CARROTS AND GREEN PEPPER, OTHER VIUNGO","pepper, raw",0.00289641371320238,1045
"21",105,"MAIZE (FLOUR)","maize, flour, white, refined, non-fermented, raw",1,940
"22",301,"SUGAR","sugar, brown",0.827283471213912,877
"23",301,"SUGAR","sugar, white",0.172716528786088,877
