interview__key,sdd_hhid,sdd_indid,hh_b01,hh_b02,hh_b03_1,hh_b03_2,hh_b04,hh_b05,hh_b06,hh_b07,hh_b08,hh_b09_1,hh_b0a,hh_b0b,hh_b10,hh_b11,hh_b12_1,hh_b12_2,hh_b13,hh_b14,hh_b15_1,hh_b15_2,hh_b16,hh_b17,hh_b18,hh_b19,hh_b20,hh_b21_1,hh_b21_2,hh_b21_3,hh_b21_4,hh_b22,hh_b23_1,hh_b23_2,hh_b23_3,hh_b23_4,hh_b24,hh_b25,hh_b26,hh_b27_2,hh_b27_3,hh_b28,hh_b29_2,hh_b29_3,y4_hhid
69-04-74-63,0001-001-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,79,HEAD,1,YES,31,YES,YES,,1,DISABLED,DEAD,,8,DOES NOT KNOW,DEAD,,9,DON'T KNOW,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,,,,YES,2,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0001-001
69-04-74-63,0001-001-001,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,69,SPOUSE,2,YES,31,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,4,DOES NOT KNOW,DEAD,,12,DON'T KNOW,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,,,,YES,1,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0001-001
89-47-56-17,0001-001-003,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,36,HEAD,3,YES,31,YES,YES,,0,AGRICULTURE/LIVESTOCK,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0001-001
04-61-05-31,0001-001-004,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,29,HEAD,4,NO,30,YES,YES,,0,EMPLOYED: PRIVATE SECTOR,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,YES,NEVER MARRIED,,,,,,,,,,,,,3,DODOMA,KONDOA,BETTER SERVICES/HOUSING,DODOMA,KONDOA,0001-001
46-71-56-27,0001-004-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,29,HEAD,1,YES,31,YES,YES,,0,EMPLOYED (NOT AG): WITHOUT EMPLOYEES,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,YES,LIVING TOGETHER,,,,,,YES,4,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0001-004
46-71-56-27,0001-004-001,4,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,21,SPOUSE,NOT PREVIOUSLY PRESENT,YES,31,YES,YES,,10,AGRICULTURE/LIVESTOCK,DEAD,,14,NO SCHOOL,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,YES,LIVING TOGETHER,,,,,,YES,1,,,,NO,,1,DAR ES SALAAM,TEMEKE,MARRIAGE,DAR ES SALAAM,TEMEKE,0001-004
46-71-56-27,0001-004-001,5,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,2,STEP SON/DAUGHTER,NOT PREVIOUSLY PRESENT,YES,31,YES,NO,4,10,TOO YOUNG,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,MOTHER IS A MEMBER OF HOUSEHOLD,4,,,NO,,,,,,,,,,,,,,,,,,,,0001-004
94-40-15-31,0001-004-002,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,28,HEAD,2,YES,28,YES,YES,,0,EMPLOYED (NOT AG): WITHOUT EMPLOYEES,DEAD,,3,NO SCHOOL,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,YES,DIVORCED,,,,,,,,,,,,,3,DODOMA,CHEMBA,OTHER FAMILY REASONS,DODOMA,CHEMBA,0001-004
50-85-79-66,0003-001-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,64,HEAD,1,YES,31,YES,NO,2,6,AGRICULTURE/LIVESTOCK,DEAD,,48,COMPLETED PRIMARY,DEAD,,42,NO SCHOOL,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,,,,YES,2,,,,NO,,52,DAR ES SALAAM,TEMEKE,OTHER FAMILY REASONS,DAR ES SALAAM,TEMEKE,0003-001
50-85-79-66,0003-001-001,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,54,SPOUSE,2,YES,31,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,19,NO SCHOOL,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,,,,YES,1,,,,NO,,38,DODOMA,KONDOA,MARRIAGE,DODOMA,KONDOA,0003-001
50-85-79-66,0003-001-001,4,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,19,SON/DAUGHTER,4,YES,31,YES,NO,2,0,AGRICULTURE/LIVESTOCK,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0003-001
50-85-79-66,0003-001-001,6,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,16,GRANDCHILD,6,YES,31,YES,NO,2,0,STUDENT,DEAD,,4,COMPLETED PRIMARY,DEAD,,11,COMPLETED PRIMARY,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0003-001
