"fdc_id","food_description","Food_Group_Code","Food_Group","source_fct","nutrient_data_source","ENERCkcal","PROCNTg","PROANIg","MFP_PROTg","FAT_g","FASATg","FAMSg","FAPUg","CHOCDFg","CHOLEmg","FIB_g","SUCSg","PHYTACmg","VITA_RAEmcg","A_VITAmcg","VITDmcg","VITEmcg","VITCmg","THIAmg","RIBFmg","NIAmg","VITB6_mg","FOLmcg","VITB12mg","PANTACmg","TRPmg","THRmg","ILEmg","LEUmg","LYSmg","METmg","CYSmg","PHEmg","TYRmg","VALmg","ARGmg","HISmg","CAmg","Pmg","MGmg","Kmg","NAmg","FEmg","MFP_FEmg","ZNmg","CUmg","MNmg"
"1","Biscuit","A1","Cereal and Cereal products","TZ08","None listed","434","9.1999999999999993","0","0","11.8","2.1","6.5","1.8","71.5","0","2.7","0.4","180",0,"0",0,1,0,0.1,0,"1.1000000000000001",0,31,0,0.5,"122","256","334","632","258","159","198","452","274","387","366","198",119,105,27,128,1302,1.2,0,"0.8",0.2,0.7
"2","Bread roll","A1","Cereal and Cereal products","TZ08","None listed","274","8.8000000000000007","0","0","3","0.6","1.2","0.7","51.9","0","2.8","0.1","30",0,"0",0,0,0,0.6,0.2,"2.8",0,31,0,0.4,"102","248","338","616","205","158","192","436","250","382","320","191",120,105,27,113,609,7.8,0,"0.9",0.2,0.5
"3","Bread, white","A1","Cereal and Cereal products","TZ08","None listed","274","8.8000000000000007","0","0","3","0.6","1.2","0.7","51.9","0","2.8","0.1","30",0,"0",0,0,0,0.1,0.1,"0.9",0,31,0,0.4,"102","248","338","616","205","158","192","436","250","382","320","191",10,105,27,113,609,0.5,0,"0.9",0.2,0.5
"6","Cake","A1","Cereal and Cereal products","TZ08","None listed","320","4.7","2.2000000000000002","0","12.3","3.5","5.3","2.9","48.6","50","0.6","28.2","68",34,"34",0,1,0,0,0.1,"0.3",0,10,0.2,0.3,"58","169","209","365","217","107","92","236","169","237","212","109",38,68,9,75,182,0.4,0,"0.4",0,0.2
"7","Cookie","A1","Cereal and Cereal products","TZ08","None listed","478","5.0999999999999996","0","0","21.1","5.4","11.8","2.7","67.900000000000006","51","0.5","22","116",27,"0",0,3,0,0,0.1,"1",0.1,12,0.1,0.3,"70","179","230","390","256","110","104","250","175","263","221","112",21,80,12,63,357,0.7,0,"0.4",0.1,0.3
"8","Donut","A1","Cereal and Cereal products","TZ08","None listed","478","5.0999999999999996","0","0","21.1","5.4","11.8","2.7","67.900000000000006","51","0.5","22","116",27,"0",0,3,0,0,0.1,"1",0.1,12,0.1,0.3,"70","179","230","390","256","110","104","250","175","263","221","112",21,80,12,63,357,0.7,0,"0.4",0.1,0.3
"9","Infant cereal, Cerelac","A1","Cereal and Cereal products","TZ08","None listed","387","14","8.5","0","1","0.5","0.2","0.2","78.099999999999994","5","0.7","0.2","290",3,"3",0,0,3,0.2,0.4,"1.2",0.2,18,1,1.8,"184","581","752","1288","873","344","193","705","597","904","763","359",315,338,58,482,130,0.5,0,"1.9",0.1,0.9
"33","Macaroni or spaghetti","A1","Cereal and Cereal products","TZ08","None listed","371","10.5","0","0","1","0.2","0.1","0.4","77.8","0","2.8","0.4","288",0,"0",0,0,0,0,0,"0",0,0,0,0,"127","281","357","710","228","183","219","520","312","415","417","230",15,110,22,109,2,1.2,0,"0.1",0.1,0
"10","Maize, cracked, cooked","A1","Cereal and Cereal products","TZ08","None listed","119","2.7","0","0","1.2","0.2","0.3","0.5","25.4","0","2.4","0.1","264",0,"0",0,0,0,0.1,0.1,"1.2",0.1,8,0,0.1,"171","353","515","913","255","207","375","647","350","568","493","272",2,80,42,95,12,1.2,0,"0.6",0.1,0.2
"11","Maize, dried, raw","A1","Cereal and Cereal products","TZ08","None listed","362","8.1","0","0","3.6","0.5","0.9","1.6","76.900000000000006","0","7.3","0.3","800",0,"0",0,1,0,0.4,0.2,"3.6",0.3,25,0,0.4,"19","101","96","329","75","56","48","132","109","136","134","82",6,241,127,287,35,3.5,0,"1.8",0.2,5
"12","Maize, flour, dry","A1","Cereal and Cereal products","TZ08","None listed","362","8.1","0","0","3.6","0.5","0.9","1.6","76.900000000000006","0","7.3","0.3","800",0,"0",0,1,0,0.4,0.2,"3.6",0.3,25,0,0.4,"57","305","291","996","228","170","146","399","330","411","405","248",6,241,127,287,35,3.5,0,"1.8",0.2,0.5
"13","Maize, green, cooked","A1","Cereal and Cereal products","TZ08","None listed","246","7.5","0","0","3","0.5","0.9","1.4","57.2","0","6.4","3.4","71",0,"0",0,0,14,0.5,0.2,"3.6",0.1,105,0,2,"57","305","291","996","228","170","146","399","330","411","405","248",5,235,73,568,39,1.4,0,"1.1000000000000001",0.1,0.4
"14","Maize, on the cob, immature","A1","Cereal and Cereal products","TZ08","None listed","59","1.8","0","0","0.7","0.1","0.2","0.3","13.8","0","1.5","0.8","17",7,"0",0,0,3,0.1,0,"0.9",0,25,0,0.5,"52","303","303","816","321","157","62","85","287","435","308","207",1,57,18,137,9,0.3,0,"0.3",0,0.1
"15","Maize, yellow, flour","A1","Cereal and Cereal products","TZ08","None listed","362","8.1","0","0","3.6","0.5","0.9","1.6","76.900000000000006","0","7.3","0.3","800",11,"0",0,0.4,0,0.4,0.2,"3.6",0.3,25,0,0.4,"13","73","73","197","78","38","15","85","69","105","74","50",6,241,127,287,35,3.5,0,"1.8",0.2,0.5
"16","Millet, bulrush","A1","Cereal and Cereal products","TZ08","None listed","361","11.6","0","0","5","0.9","1.1000000000000001","2.2000000000000002","68.7","0","24.7","1.6","870",20,"0",0,0,0,0.3,0.2,"2.1",0.3,32,0,0.5,"57","305","291","996","228","170","146","399","330","411","405","248",42,296,137,307,11,8,0,"3.1",1.1,1.2
"17","Millet, finger, grain or flour","A1","Cereal and Cereal products","TZ08","None listed","328","6.6","0","0","1.3","0.3","0.6","0.3","76.2","0","13.4","0.2","520",5,"0",0,0,0,0.3,0.1,"0.8",0.2,10,0,0.4,"205","446","484","1395","353","279","205","539","372","614","558","260",275,283,27,408,11,2.7,0,"1.2",0.5,5.5
