psu,hhno,n_member,hhsize,hh_sample_weight,headname,hhldsex,dist,urbrur,vdcmun,tole,ward,ea,fmlymemb,memb5,totmemb
5001,1,2,2,1318.328491,confidential,1,1,2,0,aasam paty,6,0,2,2,2
5001,2,3,3,1318.328491,confidential,1,1,2,0,aasdam pati,6,0,3,3,3
5001,3,3,3,1318.328491,confidential,1,1,2,0,aasampati,6,0,3,3,3
5001,4,4,4,1318.328491,confidential,1,1,2,0,aasampati,6,0,4,2,4
5001,5,4,4,1318.328491,confidential,1,1,2,0,okhre gaun,6,0,4,4,4
5001,6,4,4,1318.328491,confidential,1,1,2,0,chihan danda,6,0,4,3,4
5001,7,5,5,1318.328491,confidential,1,1,2,0,Aasampati,6,0,5,5,5
5001,8,5,5,1318.328491,confidential,1,1,2,0,okhhree,6,0,5,3,5
5001,9,5,5,1318.328491,confidential,1,1,2,0,okhre gaun,6,0,5,5,5
5001,10,5,5,1318.328491,confidential,1,1,2,0,baridhap,6,0,5,5,5
5001,11,6,6,1318.328491,confidential,1,1,2,0,aasampati,6,0,6,5,6
5001,12,6,6,1318.328491,confidential,1,1,2,0,aasamparti,6,0,6,5,6
5001,13,7,7,1318.328491,confidential,1,1,2,0,aasampati,6,0,7,6,7
5001,14,7,7,1318.328491,confidential,1,1,2,0,bari dhap,6,0,7,5,7
5001,15,9,9,1318.328491,confidential,1,1,2,0,baridhap,6,0,9,8,9
5002,1,1,1,1318.328491,confidential,2,2,2,0,Khalde,9,0,1,1,1
5002,2,2,2,1318.328491,confidential,1,2,2,0,khalde,9,0,2,2,2
5002,3,3,3,1318.328491,confidential,1,2,2,0,khalday,9,0,3,2,3
5002,4,3,3,1318.328491,confidential,1,2,2,0,khalde,9,0,3,3,3
5002,5,3,3,1318.328491,confidential,1,2,2,0,khalde,9,0,3,3,3
5002,6,4,4,1318.328491,confidential,2,2,2,0,khalde,9,0,4,4,4
5002,7,4,4,1318.328491,confidential,1,2,2,0,khalde,9,0,4,4,4
